County,Heat,Wet Bulb,Farm Crop Yields,Sea Level Rise,Very Large Fires,Economic Damages
"San Miguel County, CO",3,1,1,1,4,4,
"Sedgwick County, CO",6,1,4,1,1,4,
"Summit County, CO",1,1,1,1,2,3,
"Teller County, CO",3,1,1,1,3,4,
"Washington County, CO",6,1,4,1,1,4,
"Weld County, CO",4,1,3,1,3,4,
"Yuma County, CO",6,1,4,1,1,4,
"Fairfield County, CT",3,5,1,4,1,5,
"Hartford County, CT",4,5,1,1,1,4,
"Litchfield County, CT",3,2,1,1,1,4,
"Middlesex County, CT",3,5,1,4,1,4,
"New Haven County, CT",3,5,1,4,1,4,
"New London County, CT",3,2,1,4,1,4,
"Tolland County, CT",3,4,1,1,1,4,
"Windham County, CT",3,4,1,1,1,4,
"Kent County, DE",4,4,5,4,3,4,
"New Castle County, DE",4,2,4,3,1,4,
"Sussex County, DE",4,4,5,6,1,5,
"District of Columbia, DC",6,2,1,3,1,4,
"Alachua County, FL",6,2,8,1,3,7,
"Baker County, FL",6,4,8,1,3,8,
"Bay County, FL",4,4,8,4,1,7,
"Bradford County, FL",6,2,8,1,2,8,
"Brevard County, FL",4,1,1,4,3,8,
"Broward County, FL",4,4,1,4,6,8,
"Calhoun County, FL",4,2,5,1,1,9,
"Charlotte County, FL",9,6,1,4,2,8,
"Citrus County, FL",9,4,1,4,1,9,
"Clay County, FL",6,5,3,4,3,9,
"Collier County, FL",6,4,8,4,1,8,
"Columbia County, FL",6,4,8,1,3,7,
"DeSoto County, FL",9,5,1,4,2,8,
"Dixie County, FL",7,6,7,4,1,10,
"Duval County, FL",6,6,7,4,3,8,
"Escambia County, FL",4,7,3,3,1,8,
"Flagler County, FL",4,4,8,4,2,8,
"Franklin County, FL",4,6,1,4,2,10,
"Gadsden County, FL",7,4,8,1,1,7,
"Gilchrist County, FL",6,5,8,3,2,8,
"Glades County, FL",9,1,8,3,3,9,
"Gulf County, FL",4,4,1,3,1,10,
"Hamilton County, FL",7,4,8,1,1,8,
"Hardee County, FL",9,2,8,1,3,5,
"Hendry County, FL",6,4,1,1,3,9,
"Hernando County, FL",9,5,1,4,1,8,
"Highlands County, FL",9,1,8,1,3,8,
"Hillsborough County, FL",6,4,8,4,3,5,
"Holmes County, FL",4,2,4,1,1,8,
"Indian River County, FL",4,1,1,4,2,8,
"Jackson County, FL",4,2,8,1,1,6,
"Jefferson County, FL",7,7,5,1,2,8,
"Lafayette County, FL",7,5,8,1,2,8,
"Lake County, FL",6,2,8,4,3,8,
"Lee County, FL",9,6,1,4,1,8,
"Leon County, FL",7,7,8,1,1,7,
"Levy County, FL",6,4,8,4,1,10,
"Liberty County, FL",4,5,8,3,1,8,
"Madison County, FL",7,5,8,1,2,8,
"Manatee County, FL",7,4,1,4,1,4,
"Marion County, FL",9,4,8,3,4,8,
"Martin County, FL",4,6,1,4,3,8,
"Miami-Dade County, FL",4,5,8,4,6,8,
"Monroe County, FL",4,5,1,7,4,8,
"Nassau County, FL",6,6,1,4,3,8,
"Okaloosa County, FL",6,5,3,3,2,7,
"Okeechobee County, FL",9,2,1,1,3,8,
"Orange County, FL",7,2,1,3,3,6,
"Osceola County, FL",6,2,1,1,3,8,
"Palm Beach County, FL",4,4,8,4,6,8,
"Pasco County, FL",9,5,8,3,3,7,
"Pinellas County, FL",6,7,1,4,1,6,
"Polk County, FL",7,2,8,1,5,6,
"Putnam County, FL",4,2,8,4,3,9,
"St. Johns County, FL",6,6,8,4,2,8,
"St. Lucie County, FL",4,5,1,4,2,8,
"Santa Rosa County, FL",4,7,3,4,1,8,
"Sarasota County, FL",7,4,1,4,1,5,
"Seminole County, FL",7,4,1,3,2,6,
"Sumter County, FL",9,4,1,1,2,8,
"Suwannee County, FL",7,5,8,1,1,8,
"Taylor County, FL",7,6,8,4,1,8,
"Union County, FL",6,4,8,1,2,8,
"Volusia County, FL",4,6,8,4,3,9,
"Wakulla County, FL",7,9,8,4,1,9,
"Walton County, FL",6,4,3,4,3,8,
"Washington County, FL",4,2,6,3,1,9,
"Appling County, GA",7,4,8,1,3,5,
"Atkinson County, GA",7,2,9,1,2,6,
"Bacon County, GA",7,2,9,1,3,5,
"Baker County, GA",7,4,8,1,1,6,
"Baldwin County, GA",7,2,1,1,1,5,
"Banks County, GA",4,1,3,1,1,5,
"Barrow County, GA",6,1,8,1,1,5,
"Bartow County, GA",6,1,4,1,2,5,
"Ben Hill County, GA",6,2,9,1,1,5,
"Berrien County, GA",7,2,9,1,2,6,
"Bibb County, GA",7,2,8,1,1,5,
"Bleckley County, GA",6,2,8,1,1,5,
"Brantley County, GA",7,4,9,1,2,8,
"Brooks County, GA",7,4,5,1,1,7,
"Bryan County, GA",7,2,8,4,3,8,
"Bulloch County, GA",7,2,8,1,1,6,
"Burke County, GA",7,2,8,1,1,5,
"Butts County, GA",6,1,6,1,1,5,
"Calhoun County, GA",6,1,8,1,1,5,
"Camden County, GA",6,9,8,4,2,8,
"Candler County, GA",7,2,8,1,1,6,
"Carroll County, GA",4,1,8,1,1,5,
"Catoosa County, GA",6,2,8,1,2,5,
"Charlton County, GA",9,6,8,1,3,8,
"Chatham County, GA",6,2,1,6,3,7,
"Chattahoochee County, GA",7,2,1,1,1,5,
"Chattooga County, GA",4,1,5,1,2,5,
"Cherokee County, GA",3,1,7,1,1,5,
"Clarke County, GA",6,1,1,1,1,5,
"Clay County, GA",6,2,8,1,1,6,
"Clayton County, GA",6,1,1,1,1,5,
"Clinch County, GA",7,2,8,1,3,6,
"Cobb County, GA",6,1,1,1,1,5,
"Coffee County, GA",7,2,9,1,1,5,
"Colquitt County, GA",7,1,8,1,1,5,
"Columbia County, GA",6,2,8,1,1,5,
"Cook County, GA",7,2,9,1,1,6,
"Coweta County, GA",4,1,5,1,1,5,
"Crawford County, GA",7,2,8,1,1,5,
"Crisp County, GA",6,1,8,1,1,5,
"Dade County, GA",4,2,7,1,2,5,
"Dawson County, GA",3,1,4,1,1,5,
"Decatur County, GA",7,2,8,1,1,6,
"DeKalb County, GA",6,1,1,1,1,5,
"Dodge County, GA",6,2,8,1,1,5,
"Dooly County, GA",6,1,8,1,1,5,
"Dougherty County, GA",7,2,8,1,1,5,
"Douglas County, GA",6,1,4,1,1,5,
"Early County, GA",6,2,8,1,1,5,
"Echols County, GA",7,4,8,1,2,8,
"Effingham County, GA",6,6,9,3,3,7,
"Elbert County, GA",4,1,6,1,1,5,
"Emanuel County, GA",6,2,8,1,1,5,
"Evans County, GA",7,2,9,1,1,6,
"Fannin County, GA",3,1,3,1,2,4,
"Fayette County, GA",6,1,8,1,1,5,
"Floyd County, GA",6,2,5,1,2,5,
"Forsyth County, GA",4,1,3,1,1,5,
"Franklin County, GA",4,1,4,1,1,5,
"Fulton County, GA",6,1,4,1,1,5,
"Gilmer County, GA",3,1,3,1,1,4,
"Glascock County, GA",6,2,8,1,1,5,
"Glynn County, GA",6,5,8,6,1,8,
"Gordon County, GA",6,2,4,1,2,5,
"Grady County, GA",7,5,8,1,1,5,
"Greene County, GA",6,2,8,1,1,5,
"Gwinnett County, GA",4,1,8,1,1,5,
"Habersham County, GA",3,1,3,1,1,4,
"Hall County, GA",4,1,3,1,1,5,
"Hancock County, GA",6,2,1,1,1,5,
"Haralson County, GA",4,1,8,1,2,5,
"Harris County, GA",7,2,7,1,1,5,
"Hart County, GA",4,1,5,1,1,5,
"Heard County, GA",4,1,8,1,1,5,
"Henry County, GA",6,1,7,1,1,5,
"Houston County, GA",7,2,8,1,1,5,
"Irwin County, GA",6,2,8,1,1,5,
"Jackson County, GA",4,1,3,1,1,5,
"Jasper County, GA",6,1,8,1,1,5,
"Jeff Davis County, GA",7,2,9,1,2,5,
"Jefferson County, GA",6,2,8,1,1,5,
"Jenkins County, GA",6,2,9,1,1,6,
"Johnson County, GA",7,2,8,1,1,6,
"Jones County, GA",7,2,1,1,1,5,
"Lamar County, GA",6,1,7,1,1,5,
"Lanier County, GA",7,2,8,1,2,6,
"Laurens County, GA",7,2,8,1,1,5,
"Lee County, GA",7,2,8,1,1,5,
"Liberty County, GA",7,9,9,4,2,6,
"Lincoln County, GA",6,2,1,1,1,5,
"Long County, GA",7,4,8,1,3,8,
"Lowndes County, GA",7,2,7,1,3,6,
"Lumpkin County, GA",4,1,3,1,1,4,
"McDuffie County, GA",6,1,1,1,1,5,
"McIntosh County, GA",6,9,1,4,2,9,
"Macon County, GA",6,1,8,1,1,5,
"Madison County, GA",6,1,3,1,1,5,
"Marion County, GA",6,1,8,1,1,6,
"Meriwether County, GA",6,1,8,1,1,5,
"Miller County, GA",6,2,8,1,1,6,
"Mitchell County, GA",7,2,8,1,1,5,
"Monroe County, GA",6,1,8,1,1,5,
"Montgomery County, GA",7,2,8,1,1,6,
"Morgan County, GA",6,1,6,1,1,5,
"Murray County, GA",4,1,5,1,2,5,
"Muscogee County, GA",7,2,1,1,1,5,
"Newton County, GA",6,1,6,1,1,5,
"Oconee County, GA",6,1,4,1,1,5,
"Oglethorpe County, GA",6,1,6,1,1,5,
"Paulding County, GA",6,1,6,1,1,5,
"Peach County, GA",7,2,8,1,1,5,
"Pickens County, GA",3,1,5,1,1,4,
"Pierce County, GA",7,2,9,1,3,6,
"Pike County, GA",6,1,6,1,1,5,
"Polk County, GA",6,1,5,1,2,5,
"Pulaski County, GA",6,2,8,1,1,5,
"Putnam County, GA",7,2,6,1,1,5,
"Quitman County, GA",6,2,1,1,1,6,
"Rabun County, GA",3,1,3,1,2,4,
"Randolph County, GA",6,1,8,1,1,5,
"Richmond County, GA",7,2,8,1,1,5,
"Rockdale County, GA",6,1,8,1,1,5,
"Schley County, GA",6,1,8,1,1,5,
"Screven County, GA",7,2,8,1,3,6,
"Seminole County, GA",7,2,8,1,1,7,
"Spalding County, GA",6,1,6,1,1,5,
"Stephens County, GA",3,1,5,1,1,5,
"Stewart County, GA",6,1,8,1,1,5,
"Sumter County, GA",6,1,8,1,1,5,
"Talbot County, GA",6,1,8,1,1,5,
"Taliaferro County, GA",6,2,1,1,1,5,
"Tattnall County, GA",7,2,8,1,1,6,
"Taylor County, GA",6,2,8,1,1,5,
"Telfair County, GA",6,2,9,1,1,5,
"Terrell County, GA",6,1,8,1,1,5,
"Thomas County, GA",7,4,8,1,1,6,
"Tift County, GA",6,1,9,1,1,5,
"Toombs County, GA",7,2,8,1,1,5,
"Towns County, GA",3,1,3,1,2,4,
"Treutlen County, GA",7,2,9,1,1,6,
"Troup County, GA",4,1,8,1,1,5,
"Turner County, GA",6,1,8,1,1,5,
"Twiggs County, GA",7,2,8,1,1,5,
"Union County, GA",4,1,3,1,2,4,
"Upson County, GA",6,1,8,1,1,5,
"Walker County, GA",6,2,6,1,2,5,
"Walton County, GA",6,1,8,1,1,5,
"Ware County, GA",7,5,9,1,3,7,
"Warren County, GA",6,2,8,1,1,5,
"Washington County, GA",6,2,8,1,1,5,
"Wayne County, GA",7,4,8,1,3,5,
"Webster County, GA",6,2,8,1,1,5,
"Wheeler County, GA",7,2,9,1,1,6,
"White County, GA",3,1,3,1,1,4,
"Whitfield County, GA",6,2,8,1,2,5,
"Wilcox County, GA",6,2,8,1,1,5,
"Wilkes County, GA",6,1,8,1,1,5,
"Wilkinson County, GA",7,2,8,1,1,5,
"Worth County, GA",7,2,8,1,1,6,
"Ada County, ID",6,2,6,1,7,5,
"Adams County, ID",3,1,3,1,6,4,
"Bannock County, ID",4,1,1,1,1,4,
"Bear Lake County, ID",3,1,1,1,6,4,
"Benewah County, ID",4,1,1,1,1,4,
"Bingham County, ID",4,1,3,1,6,4,
"Blaine County, ID",4,1,1,1,7,4,
"Boise County, ID",4,1,1,1,7,4,
"Bonner County, ID",4,1,1,1,6,4,
"Bonneville County, ID",3,1,3,1,6,4,
"Boundary County, ID",4,1,1,1,4,4,
"Butte County, ID",4,1,1,1,7,4,
"Camas County, ID",4,1,3,1,6,4,
"Canyon County, ID",6,1,7,1,1,5,
"Caribou County, ID",4,1,1,1,1,4,
"Cassia County, ID",4,1,4,1,7,4,
"Clark County, ID",3,1,1,1,6,4,
"Clearwater County, ID",6,1,1,1,6,4,
"Custer County, ID",3,1,4,1,7,4,
"Elmore County, ID",6,1,6,1,9,5,
"Franklin County, ID",6,1,3,1,6,4,
"Fremont County, ID",3,1,1,1,3,4,
"Gem County, ID",6,1,6,1,1,5,
"Gooding County, ID",4,1,6,1,6,5,
"Idaho County, ID",4,1,1,1,9,4,
"Jefferson County, ID",4,1,3,1,1,4,
"Jerome County, ID",6,1,5,1,1,5,
"Kootenai County, ID",4,1,1,1,6,4,
"Latah County, ID",4,1,1,1,1,4,
"Lemhi County, ID",4,1,1,1,7,4,
"Lewis County, ID",3,1,1,1,1,4,
"Lincoln County, ID",4,1,4,1,6,5,
"Madison County, ID",3,1,1,1,1,4,
"Minidoka County, ID",4,1,4,1,6,4,
"Nez Perce County, ID",3,1,1,1,6,5,
"Oneida County, ID",4,1,3,1,1,4,
"Owyhee County, ID",7,1,6,1,10,5,
"Payette County, ID",6,1,7,1,1,5,
"Power County, ID",4,1,3,1,1,4,
"Shoshone County, ID",4,1,1,1,6,4,
"Teton County, ID",3,1,1,1,3,4,
"Twin Falls County, ID",4,1,5,1,7,4,
"Valley County, ID",3,1,1,1,7,4,
"Washington County, ID",7,1,5,1,1,5,
"Adams County, IL",4,5,5,1,1,5,
"Alexander County, IL",6,7,8,1,1,5,
"Bond County, IL",6,6,5,1,1,5,
"Boone County, IL",4,5,4,1,1,4,
"Brown County, IL",4,5,5,1,1,5,
"Bureau County, IL",4,5,4,1,1,4,
"Calhoun County, IL",6,4,7,1,1,5,
"Carroll County, IL",4,6,4,1,1,4,
"Cass County, IL",4,5,5,1,1,5,
"Champaign County, IL",4,6,4,1,1,5,
"Christian County, IL",4,6,5,1,1,5,
"Clark County, IL",4,6,4,1,1,5,
"Clay County, IL",4,6,5,1,1,5,
"Clinton County, IL",4,6,6,1,1,5,
"Coles County, IL",4,6,4,1,1,5,
"Cook County, IL",4,7,3,1,1,4,
"Crawford County, IL",6,7,5,1,1,5,
"Cumberland County, IL",4,6,4,1,1,5,
"DeKalb County, IL",4,5,4,1,1,4,
"De Witt County, IL",6,7,4,1,1,5,
"Douglas County, IL",4,6,4,1,1,5,
"DuPage County, IL",3,5,3,1,1,4,
"Edgar County, IL",4,7,4,1,1,5,
"Edwards County, IL",6,6,6,1,1,5,
"Effingham County, IL",4,6,5,1,1,5,
"Fayette County, IL",4,6,5,1,1,5,
"Ford County, IL",4,5,4,1,1,5,
"Franklin County, IL",6,6,6,1,1,5,
"Fulton County, IL",4,4,4,1,1,5,
"Gallatin County, IL",6,9,7,1,1,5,
"Greene County, IL",4,5,6,1,1,5,
"Grundy County, IL",4,6,4,1,1,4,
"Hamilton County, IL",6,6,6,1,1,5,
"Hancock County, IL",4,5,5,1,1,5,
"Hardin County, IL",6,7,8,1,1,4,
"Henderson County, IL",4,5,5,1,1,5,
"Henry County, IL",4,5,4,1,1,4,
"Iroquois County, IL",4,6,4,1,1,4,
"Jackson County, IL",6,7,7,1,1,5,
"Jasper County, IL",4,6,5,1,1,5,
"Jefferson County, IL",4,5,5,1,1,5,
