Full County Number	Price Range-Q3 2022	Geography	growth Q42021	Price Range-Q3 2022	Latitude (generated)	Longitude (generated)	ABS-diff price Q2 2021	Price Q3 2022	Q1 2022	Q4 2021
54043	Less than $150,000	Lincoln County,  West Virginia	rose	Less than $150,000	38.1606	-82.0837	5.3%	$90,760	$96,954	$98,155
54041	Less than $150,000	Lewis County,  West Virginia	rose	Less than $150,000	38.9458	-80.4933	3.3%	$134,211	$122,743	$122,842
54039	Less than $150,000	Kanawha County,  West Virginia	rose	Less than $150,000	38.2982	-81.5239	5.3%	$143,091	$138,751	$124,501
54033	Less than $150,000	Harrison County,  West Virginia	rose	Less than $150,000	39.2852	-80.3964	3.3%	$138,023	$146,278	$146,066
54029	Less than $150,000	Hancock County,  West Virginia	rose	Less than $150,000	40.5165	-80.5704	6.3%	$110,219	$112,470	$112,265
54025	Less than $150,000	Greenbrier County,  West Virginia	rose	Less than $150,000	37.976	-80.4033	3.3%	$144,526	$139,274	$146,184
54021	Less than $150,000	Gilmer County,  West Virginia	rose	Less than $150,000	38.9138	-80.8124	3.3%	$91,940	$90,472	$109,992
54019	Less than $150,000	Fayette County,  West Virginia	rose	Less than $150,000	38.0418	-81.0963	3.3%	$107,301	$107,683	$107,634
54015	Less than $150,000	Clay County,  West Virginia	rose	Less than $150,000	38.4672	-81.0583	5.3%	$96,015	$96,730	$93,492
54013	Less than $150,000	Calhoun County,  West Virginia	rose	Less than $150,000	38.8292	-81.1142	3.3%	$116,271	$114,137	$98,438
54009	Less than $150,000	Brooke County,  West Virginia	rose	Less than $150,000	40.2763	-80.5678	6.3%	$105,373	$115,561	$112,507
54007	Less than $150,000	Braxton County,  West Virginia	rose	Less than $150,000	38.7116	-80.7316	3.3%	$99,453	$106,098	$101,857
54005	Less than $150,000	Boone County,  West Virginia	rose	Less than $150,000	37.9975	-81.7141	5.3%	$87,694	$86,169	$83,350
54001	Less than $150,000	Barbour County,  West Virginia	rose	Less than $150,000	39.1254	-80.0274	3.3%	$119,523	$117,534	$130,033
51730	Less than $150,000	Petersburg city,  Virginia	rose	Less than $150,000	37.2052	-77.3908	9.8%	$138,125	$137,170	$132,223
51720	Less than $150,000	Norton city,  Virginia	rose	Less than $150,000	36.9301	-82.6355	7.3%	$111,823	$97,567	$114,638
51690	Less than $150,000	Martinsville city,  Virginia	rose	Less than $150,000	36.6791	-79.8708	7.3%	$90,202	$97,076	$107,182
51670	Less than $150,000	Hopewell city,  Virginia	rose	Less than $150,000	37.2877	-77.2944	9.8%	$147,511	$154,715	$150,325
51640	Less than $150,000	Galax city,  Virginia	rose	Less than $150,000	36.6593	-80.9279	7.3%	$116,240	$119,686	$118,060
51595	Less than $150,000	Emporia city,  Virginia	rose	Less than $150,000	36.6973	-77.535	7.3%	$121,471	$149,423	$142,747
51580	Less than $150,000	Covington city,  Virginia	rose	Less than $150,000	37.7808	-79.9886	7.3%	$81,135	$86,508	$89,095
51530	Less than $150,000	Buena Vista city,  Virginia	rose	Less than $150,000	37.7286	-79.3561	7.3%	$143,091	$154,461	$154,724
51195	Less than $150,000	Wise County,  Virginia	rose	Less than $150,000	37.0011	-82.6307	7.3%	$110,195	$107,275	$104,494
51185	Less than $150,000	Tazewell County,  Virginia	rose	Less than $150,000	37.1358	-81.6058	7.3%	$118,216	$126,076	$121,848
51173	Less than $150,000	Smyth County,  Virginia	rose	Less than $150,000	36.823	-81.5102	7.3%	$125,655	$122,266	$117,082
51169	Less than $150,000	Scott County,  Virginia	rose	Less than $150,000	36.7396	-82.5828	7.7%	$132,404	$137,523	$118,730
51167	Less than $150,000	Russell County,  Virginia	rose	Less than $150,000	36.9262	-82.0747	7.3%	$113,450	$109,610	$119,771
51141	Less than $150,000	Patrick County,  Virginia	rose	Less than $150,000	36.7075	-80.274	7.3%	$138,093	$152,004	$146,658
51111	Less than $150,000	Lunenburg County,  Virginia	rose	Less than $150,000	36.9432	-78.2456	7.3%	$135,536	$152,249	$146,047
51105	Less than $150,000	Lee County,  Virginia	rose	Less than $150,000	36.7435	-82.9795	7.3%	$100,199	$105,063	$107,671
51089	Less than $150,000	Henry County,  Virginia	rose	Less than $150,000	36.6989	-79.9864	7.3%	$114,612	$119,686	$114,760
51083	Less than $150,000	Halifax County,  Virginia	rose	Less than $150,000	36.803	-78.9171	7.3%	$139,836	$145,614	$141,891
51081	Less than $150,000	Greensville County,  Virginia	rose	Less than $150,000	36.7217	-77.5729	7.3%	$137,279	$148,563	$143,847
51077	Less than $150,000	Grayson County,  Virginia	rose	Less than $150,000	36.6833	-81.2368	7.3%	$133,327	$134,923	$125,759
51051	Less than $150,000	Dickenson County,  Virginia	rose	Less than $150,000	37.1314	-82.361	7.3%	$95,317	$99,902	$98,994
51037	Less than $150,000	Charlotte County,  Virginia	rose	Less than $150,000	36.9742	-78.6045	7.3%	$144,719	$148,686	$136,758
51035	Less than $150,000	Carroll County,  Virginia	rose	Less than $150,000	36.7464	-80.7437	7.3%	$136,465	$138,241	$137,981
51027	Less than $150,000	Buchanan County,  Virginia	rose	Less than $150,000	37.2884	-82.0618	7.3%	$83,460	$85,402	$88,361
51025	Less than $150,000	Brunswick County,  Virginia	rose	Less than $150,000	36.7851	-77.8417	7.3%	$133,792	$139,593	$137,125
51021	Less than $150,000	Bland County,  Virginia	rose	Less than $150,000	37.1272	-81.0776	7.3%	$137,860	$154,338	$138,347
51005	Less than $150,000	Alleghany County,  Virginia	rose	Less than $150,000	37.7788	-80.1069	7.3%	$136,117	$148,809	$146,291
48507	Less than $150,000	Zavala County,  Texas	rose	Less than $150,000	28.8648	-99.7623	9.4%	$75,763	$75,458	$62,795
48505	Less than $150,000	Zapata County,  Texas	rose	Less than $150,000	26.9454	-99.1717	9.4%	$99,103	$112,678	$97,709
48495	Less than $150,000	Winkler County,  Texas	rose	Less than $150,000	31.8614	-103.0627	9.4%	$104,609	$105,183	$78,745
48489	Less than $150,000	Willacy County,  Texas	rose	Less than $150,000	26.4556	-97.7389	9.4%	$74,208	$78,887	$69,451
48487	Less than $150,000	Wilbarger County,  Texas	rose	Less than $150,000	34.1523	-99.2142	9.4%	$91,203	$92,988	$85,778
48485	Less than $150,000	Wichita County,  Texas	rose	Less than $150,000	33.9973	-98.6882	11.4%	$146,439	$156,736	$142,363
48483	Less than $150,000	Wheeler County,  Texas	rose	Less than $150,000	35.4067	-100.2697	9.4%	$102,335	$106,200	$105,495
48475	Less than $150,000	Ward County,  Texas	rose	Less than $150,000	31.4598	-103.1287	9.4%	$123,161	$125,381	$109,012
48465	Less than $150,000	Val Verde County,  Texas	rose	Less than $150,000	29.7645	-101.0491	9.4%	$136,326	$133,893	$129,860
48463	Less than $150,000	Uvalde County,  Texas	rose	Less than $150,000	29.3551	-99.7622	9.4%	$121,245	$130,844	$111,775
48461	Less than $150,000	Upton County,  Texas	rose	Less than $150,000	31.369	-102.0443	9.4%	$103,172	$100,229	$84,020
48457	Less than $150,000	Tyler County,  Texas	rose	Less than $150,000	30.7932	-94.3877	9.4%	$130,342	$115,600	$110,645
48455	Less than $150,000	Trinity County,  Texas	rose	Less than $150,000	31.1046	-95.1246	9.4%	$110,713	$111,154	$105,119
48449	Less than $150,000	Titus County,  Texas	rose	Less than $150,000	33.19	-94.9689	9.4%	$125,435	$126,906	$131,995
48447	Less than $150,000	Throckmorton County,  Texas	rose	Less than $150,000	33.1541	-99.2122	9.4%	$75,165	$74,441	$70,707
48445	Less than $150,000	Terry County,  Texas	rose	Less than $150,000	33.1754	-102.3353	9.4%	$101,975	$99,721	$96,076
48443	Less than $150,000	Terrell County,  Texas	rose	Less than $150,000	30.2125	-102.1628	9.4%	$113,466	$103,405	$95,951
48437	Less than $150,000	Swisher County,  Texas	rose	Less than $150,000	34.535	-101.7351	9.4%	$93,717	$99,848	$101,225
48433	Less than $150,000	Stonewall County,  Texas	rose	Less than $150,000	33.1802	-100.2535	9.4%	$66,188	$67,582	$69,828
48431	Less than $150,000	Sterling County,  Texas	rose	Less than $150,000	31.8222	-101.0451	9.4%	$94,435	$95,275	$74,098
48429	Less than $150,000	Stephens County,  Texas	rose	Less than $150,000	32.7377	-98.836	9.4%	$99,103	$103,278	$93,313
48427	Less than $150,000	Starr County,  Texas	rose	Less than $150,000	26.5105	-98.7859	9.4%	$97,786	$97,688	$90,299
48421	Less than $150,000	Sherman County,  Texas	rose	Less than $150,000	36.2705	-101.8934	9.4%	$114,064	$119,284	$125,339
48419	Less than $150,000	Shelby County,  Texas	rose	Less than $150,000	31.7749	-94.127	9.4%	$104,369	$103,913	$98,086
48415	Less than $150,000	Scurry County,  Texas	rose	Less than $150,000	32.7541	-100.9166	9.4%	$113,585	$111,281	$107,379
48413	Less than $150,000	Schleicher County,  Texas	rose	Less than $150,000	30.9013	-100.539	9.4%	$106,883	$102,770	$97,709
48411	Less than $150,000	San Saba County,  Texas	rose	Less than $150,000	31.2064	-98.8303	9.4%	$144,944	$151,677	$137,395
48405	Less than $150,000	San Augustine County,  Texas	rose	Less than $150,000	31.377	-94.1756	9.4%	$86,416	$95,910	$110,519
48403	Less than $150,000	Sabine County,  Texas	rose	Less than $150,000	31.3731	-93.8461	9.4%	$136,805	$126,906	$146,061
48399	Less than $150,000	Runnels County,  Texas	rose	Less than $150,000	31.839	-99.9766	9.4%	$101,975	$108,232	$102,230
48395	Less than $150,000	Robertson County,  Texas	rose	Less than $150,000	31.0267	-96.5129	7.5%	$144,230	$147,160	$132,070
48391	Less than $150,000	Refugio County,  Texas	rose	Less than $150,000	28.3093	-97.1471	9.4%	$101,018	$108,613	$107,505
48389	Less than $150,000	Reeves County,  Texas	rose	Less than $150,000	31.3853	-103.6537	9.4%	$117,176	$116,362	$81,382
48387	Less than $150,000	Red River County,  Texas	rose	Less than $150,000	33.6418	-95.0283	9.4%	$120,168	$98,959	$89,294
48383	Less than $150,000	Reagan County,  Texas	rose	Less than $150,000	31.3693	-101.523	9.4%	$123,879	$124,873	$124,083
48377	Less than $150,000	Presidio County,  Texas	rose	Less than $150,000	29.9461	-104.2391	9.4%	$86,296	$98,069	$94,318
48375	Less than $150,000	Potter County,  Texas	rose	Less than $150,000	35.3994	-101.8943	9.6%	$123,898	$135,717	$123,550
48371	Less than $150,000	Pecos County,  Texas	rose	Less than $150,000	30.7143	-102.6595	9.4%	$135,369	$134,655	$109,640
48369	Less than $150,000	Parmer County,  Texas	rose	Less than $150,000	34.5279	-102.7843	9.4%	$127,350	$139,736	$122,576
48365	Less than $150,000	Panola County,  Texas	rose	Less than $150,000	32.1837	-94.3114	9.4%	$144,465	$148,628	$128,353
48359	Less than $150,000	Oldham County,  Texas	rose	Less than $150,000	35.4003	-102.6039	9.4%	$125,554	$131,860	$114,789
48357	Less than $150,000	Ochiltree County,  Texas	rose	Less than $150,000	36.2819	-100.8158	9.4%	$130,701	$132,495	$128,981
48353	Less than $150,000	Nolan County,  Texas	rose	Less than $150,000	32.3092	-100.4063	9.4%	$93,717	$102,007	$94,820
48351	Less than $150,000	Newton County,  Texas	rose	Less than $150,000	30.7161	-93.745	9.4%	$97,667	$102,516	$101,979
48349	Less than $150,000	Navarro County,  Texas	rose	Less than $150,000	32.0628	-96.4755	9.4%	$138,600	$139,355	$122,576
48345	Less than $150,000	Motley County,  Texas	rose	Less than $150,000	34.0728	-100.7798	9.4%	$70,617	$76,220	$70,958
48343	Less than $150,000	Morris County,  Texas	rose	Less than $150,000	33.1234	-94.7341	9.4%	$116,937	$116,997	$113,533
48341	Less than $150,000	Moore County,  Texas	rose	Less than $150,000	35.8374	-101.8929	9.4%	$138,002	$143,674	$153,094
48335	Less than $150,000	Mitchell County,  Texas	rose	Less than $150,000	32.2991	-100.9214	9.4%	$82,346	$86,255	$86,657
48327	Less than $150,000	Menard County,  Texas	rose	Less than $150,000	30.9164	-99.8004	9.4%	$98,864	$110,900	$74,475
48323	Less than $150,000	Maverick County,  Texas	rose	Less than $150,000	28.6426	-100.2812	9.4%	$130,222	$128,176	$122,952
48315	Less than $150,000	Marion County,  Texas	rose	Less than $150,000	32.7826	-94.3622	9.4%	$117,535	$124,746	$121,194
48313	Less than $150,000	Madison County,  Texas	rose	Less than $150,000	30.9585	-95.9474	9.4%	$140,276	$143,801	$142,042
48311	Less than $150,000	McMullen County,  Texas	rose	Less than $150,000	28.3555	-98.5677	9.4%	$106,883	$141,388	$139,279
48307	Less than $150,000	McCulloch County,  Texas	rose	Less than $150,000	31.217	-99.3467	9.4%	$103,412	$122,333	$117,678
48305	Less than $150,000	Lynn County,  Texas	rose	Less than $150,000	33.179	-101.8167	9.4%	$112,867	$114,203	$105,495
48297	Less than $150,000	Live Oak County,  Texas	rose	Less than $150,000	28.4249	-98.1422	9.4%	$140,635	$134,909	$130,739
48295	Less than $150,000	Lipscomb County,  Texas	rose	Less than $150,000	36.3128	-100.2732	9.4%	$131,778	$135,544	$126,720
48293	Less than $150,000	Limestone County,  Texas	rose	Less than $150,000	31.5165	-96.5516	9.4%	$139,199	$146,596	$119,813
48283	Less than $150,000	La Salle County,  Texas	rose	Less than $150,000	28.301	-99.0981	9.4%	$99,342	$106,708	$103,360
48279	Less than $150,000	Lamb County,  Texas	rose	Less than $150,000	34.0888	-102.3518	9.4%	$79,234	$86,255	$82,261
48277	Less than $150,000	Lamar County,  Texas	rose	Less than $150,000	33.6614	-95.5832	9.4%	$146,141	$137,831	$124,460
48275	Less than $150,000	Knox County,  Texas	rose	Less than $150,000	33.6159	-99.7337	9.4%	$56,254	$55,005	$56,515
48273	Less than $150,000	Kleberg County,  Texas	rose	Less than $150,000	27.4227	-97.9022	9.4%	$117,296	$125,127	$115,417
48271	Less than $150,000	Kinney County,  Texas	rose	Less than $150,000	29.3544	-100.4105	9.4%	$118,253	$104,167	$86,406
48269	Less than $150,000	King County,  Texas	rose	Less than $150,000	33.6116	-100.2558	9.4%	$27,050	$28,964	$46,091
48263	Less than $150,000	Kent County,  Texas	rose	Less than $150,000	33.1797	-100.7781	9.4%	$109,396	$82,190	$43,956
48255	Less than $150,000	Karnes County,  Texas	rose	Less than $150,000	28.9476	-97.9006	9.4%	$133,933	$139,101	$128,478
48253	Less than $150,000	Jones County,  Texas	rose	Less than $150,000	32.7392	-99.8789	8.9%	$88,729	$99,640	$103,183
48249	Less than $150,000	Jim Wells County,  Texas	rose	Less than $150,000	27.659	-98.0873	9.4%	$93,358	$97,688	$95,699
48247	Less than $150,000	Jim Hogg County,  Texas	rose	Less than $150,000	27.0717	-98.7105	9.4%	$105,327	$97,815	$81,633
48241	Less than $150,000	Jasper County,  Texas	rose	Less than $150,000	30.7013	-93.9986	9.4%	$127,589	$133,639	$126,720
48239	Less than $150,000	Jackson County,  Texas	rose	Less than $150,000	28.9696	-96.562	9.4%	$137,763	$139,863	$143,172
48237	Less than $150,000	Jack County,  Texas	rose	Less than $150,000	33.2355	-98.1705	9.4%	$120,527	$120,935	$108,384
48235	Less than $150,000	Irion County,  Texas	rose	Less than $150,000	31.3054	-100.9812	9.2%	$131,864	$149,695	$142,951
48233	Less than $150,000	Hutchinson County,  Texas	rose	Less than $150,000	35.8101	-101.3545	9.4%	$103,172	$103,659	$98,965
48229	Less than $150,000	Hudspeth County,  Texas	rose	Less than $150,000	31.3165	-105.4233	9.4%	$63,196	$69,233	$63,925
48227	Less than $150,000	Howard County,  Texas	rose	Less than $150,000	32.2992	-101.4356	9.4%	$145,064	$131,479	$124,334
48225	Less than $150,000	Houston County,  Texas	rose	Less than $150,000	31.26	-95.4349	9.4%	$141,353	$136,560	$126,469
48219	Less than $150,000	Hockley County,  Texas	rose	Less than $150,000	33.6124	-102.3431	9.4%	$118,014	$118,014	$117,552
48217	Less than $150,000	Hill County,  Texas	rose	Less than $150,000	31.9888	-97.1227	9.4%	$137,164	$142,531	$130,362
48215	Less than $150,000	Hidalgo County,  Texas	rose	Less than $150,000	26.3986	-98.1887	6.6%	$131,637	$135,030	$112,030
48207	Less than $150,000	Haskell County,  Texas	rose	Less than $150,000	33.1786	-99.7307	9.4%	$71,455	$76,855	$67,693
48197	Less than $150,000	Hardeman County,  Texas	rose	Less than $150,000	34.315	-99.7365	9.4%	$69,061	$67,454	$54,129
48195	Less than $150,000	Hansford County,  Texas	rose	Less than $150,000	36.2744	-101.3546	9.4%	$123,161	$141,388	$119,687
48193	Less than $150,000	Hamilton County,  Texas	rose	Less than $150,000	31.7167	-98.0987	9.4%	$146,141	$157,013	$164,272
48191	Less than $150,000	Hall County,  Texas	rose	Less than $150,000	34.534	-100.6806	9.4%	$74,806	$76,093	$66,311
48189	Less than $150,000	Hale County,  Texas	rose	Less than $150,000	34.068	-101.8263	9.4%	$99,582	$107,343	$103,863
48179	Less than $150,000	Gray County,  Texas	rose	Less than $150,000	35.3987	-100.8124	9.4%	$98,265	$101,372	$97,458
48177	Less than $150,000	Gonzales County,  Texas	rose	Less than $150,000	29.4484	-97.5027	9.4%	$140,156	$144,436	$152,340
48169	Less than $150,000	Garza County,  Texas	rose	Less than $150,000	33.1798	-101.298	9.4%	$94,435	$99,340	$98,965
48163	Less than $150,000	Frio County,  Texas	rose	Less than $150,000	28.8624	-99.1075	9.4%	$120,288	$109,248	$103,235
48155	Less than $150,000	Foard County,  Texas	rose	Less than $150,000	33.9777	-99.7617	9.4%	$63,076	$61,611	$58,274
48153	Less than $150,000	Floyd County,  Texas	rose	Less than $150,000	34.069	-101.303	9.4%	$90,844	$89,304	$80,754
48151	Less than $150,000	Fisher County,  Texas	rose	Less than $150,000	32.7425	-100.4024	9.4%	$80,312	$81,174	$84,020
48145	Less than $150,000	Falls County,  Texas	rose	Less than $150,000	31.2537	-96.9393	9.4%	$96,230	$97,688	$94,569
48137	Less than $150,000	Edwards County,  Texas	rose	Less than $150,000	29.9663	-100.3478	9.4%	$84,142	$91,210	$86,908
48133	Less than $150,000	Eastland County,  Texas	rose	Less than $150,000	32.2936	-98.8015	9.4%	$98,983	$104,929	$92,811
48131	Less than $150,000	Duval County,  Texas	rose	Less than $150,000	27.6613	-98.5174	9.4%	$90,007	$78,506	$62,041
48129	Less than $150,000	Donley County,  Texas	rose	Less than $150,000	34.9669	-100.8141	9.4%	$80,312	$89,177	$86,280
48127	Less than $150,000	Dimmit County,  Texas	rose	Less than $150,000	28.4132	-99.7548	9.4%	$69,061	$77,871	$91,429
48125	Less than $150,000	Dickens County,  Texas	rose	Less than $150,000	33.6166	-100.7789	9.4%	$71,096	$67,454	$64,176
48117	Less than $150,000	Deaf Smith County,  Texas	rose	Less than $150,000	34.9635	-102.6051	9.4%	$109,755	$116,616	$114,412
48115	Less than $150,000	Dawson County,  Texas	rose	Less than $150,000	32.737	-101.9478	9.4%	$99,103	$101,753	$92,183
48111	Less than $150,000	Dallam County,  Texas	rose	Less than $150,000	36.2673	-102.6022	9.4%	$121,964	$120,681	$112,026
48109	Less than $150,000	Culberson County,  Texas	rose	Less than $150,000	31.3019	-104.4978	9.4%	$79,833	$80,920	$78,368
48107	Less than $150,000	Crosby County,  Texas	rose	Less than $150,000	33.6161	-101.3	8.3%	$71,402	$74,846	$73,793
48105	Less than $150,000	Crockett County,  Texas	rose	Less than $150,000	30.6879	-101.3732	9.4%	$145,064	$129,828	$112,529
48103	Less than $150,000	Crane County,  Texas	rose	Less than $150,000	31.3689	-102.5403	9.4%	$126,991	$113,059	$126,092
48101	Less than $150,000	Cottle County,  Texas	rose	Less than $150,000	34.0712	-100.2829	9.4%	$62,239	$55,894	$58,525
48095	Less than $150,000	Concho County,  Texas	rose	Less than $150,000	31.3218	-99.8577	9.4%	$102,454	$136,814	$127,474
48093	Less than $150,000	Comanche County,  Texas	rose	Less than $150,000	31.9702	-98.5993	9.4%	$127,350	$140,879	$131,869
48087	Less than $150,000	Collingsworth County,  Texas	rose	Less than $150,000	34.9674	-100.2701	9.4%	$78,157	$73,044	$65,558
48083	Less than $150,000	Coleman County,  Texas	rose	Less than $150,000	31.7432	-99.4612	9.4%	$99,821	$105,564	$96,076
48081	Less than $150,000	Coke County,  Texas	rose	Less than $150,000	31.8934	-100.5296	9.4%	$98,624	$94,131	$86,783
48079	Less than $150,000	Cochran County,  Texas	rose	Less than $150,000	33.6054	-102.8284	9.4%	$53,382	$48,273	$48,729
48077	Less than $150,000	Clay County,  Texas	rose	Less than $150,000	33.81	-98.2007	11.4%	$137,462	$140,576	$127,020
48075	Less than $150,000	Childress County,  Texas	rose	Less than $150,000	34.5307	-100.2067	9.4%	$120,408	$110,265	$107,379
48073	Less than $150,000	Cherokee County,  Texas	rose	Less than $150,000	31.7826	-95.1853	9.4%	$144,106	$141,769	$129,232
48069	Less than $150,000	Castro County,  Texas	rose	Less than $150,000	34.5304	-102.2618	9.4%	$103,292	$105,818	$102,858
48067	Less than $150,000	Cass County,  Texas	rose	Less than $150,000	33.101	-94.3483	9.4%	$115,979	$115,727	$109,389
48065	Less than $150,000	Carson County,  Texas	rose	Less than $150,000	35.3997	-101.3546	9.6%	$116,455	$134,653	$139,682
48061	Less than $150,000	Cameron County,  Texas	rose	Less than $150,000	26.1073	-97.5787	6.5%	$129,292	$147,223	$111,048
48059	Less than $150,000	Callahan County,  Texas	rose	Less than $150,000	32.2983	-99.3739	8.9%	$125,681	$123,317	$118,836
48057	Less than $150,000	Calhoun County,  Texas	rose	Less than $150,000	28.5138	-96.695	6.4%	$145,297	$142,477	$144,449
48051	Less than $150,000	Burleson County,  Texas	rose	Less than $150,000	30.5133	-96.6354	7.5%	$147,670	$153,090	$148,244
48049	Less than $150,000	Brown County,  Texas	rose	Less than $150,000	31.7664	-98.958	9.4%	$136,446	$139,101	$128,730
48047	Less than $150,000	Brooks County,  Texas	rose	Less than $150,000	27.0383	-98.2019	9.4%	$83,902	$81,555	$85,150
48045	Less than $150,000	Briscoe County,  Texas	rose	Less than $150,000	34.535	-101.2086	9.4%	$86,296	$92,099	$82,889
48025	Less than $150,000	Bee County,  Texas	rose	Less than $150,000	28.4248	-97.7101	9.4%	$111,551	$112,678	$113,784
48023	Less than $150,000	Baylor County,  Texas	rose	Less than $150,000	33.616	-99.2137	9.4%	$88,451	$87,780	$77,866
48017	Less than $150,000	Bailey County,  Texas	rose	Less than $150,000	34.0706	-102.8295	9.4%	$111,551	$95,529	$87,536
48013	Less than $150,000	Atascosa County,  Texas	rose	Less than $150,000	28.9347	-98.5218	9.0%	$138,577	$135,403	$122,851
48001	Less than $150,000	Anderson County,  Texas	rose	Less than $150,000	31.7951	-95.6887	9.4%	$143,268	$139,736	$127,976
47183	Less than $150,000	Weakley County,  Tennessee	rose	Less than $150,000	36.2879	-88.74	11.6%	$125,527	$132,767	$129,342
47181	Less than $150,000	Wayne County,  Tennessee	rose	Less than $150,000	35.2527	-87.7805	11.6%	$143,388	$147,956	$125,904
47175	Less than $150,000	Van Buren County,  Tennessee	rose	Less than $150,000	35.6687	-85.4578	11.6%	$134,584	$133,038	$129,607
47151	Less than $150,000	Scott County,  Tennessee	rose	Less than $150,000	36.3837	-84.5112	11.6%	$128,546	$131,953	$130,929
47135	Less than $150,000	Perry County,  Tennessee	rose	Less than $150,000	35.6326	-87.8588	11.6%	$131,188	$127,614	$116,514
47131	Less than $150,000	Obion County,  Tennessee	rose	Less than $150,000	36.3627	-89.1733	11.6%	$129,049	$131,004	$121,011
